Cwa,Credits,Study Hours,Difficulty,Scores
83,1,60,5,78
85,1,41.25,3,82
85,2,37.5,2,93
85,1,37.5,1,69
85,1,37.5,1,69
85,3,33.75,2,82
85,3,33.75,5,73
85,3,52.5,4,93
85,3,33.75,3,93
85,2,30,3,93
80,1,45,3,92
80,3,45,2,78
80,3,33.75,3,82
80,3,41.25,3,76
80,4,37.5,1,75
80,4,52.5,5,80
80,1,41.25,2,98
88,4,30,2,94
88,4,45,4,82
88,4,41.25,3,96
88,4,41.25,3,78
88,3,37.5,1,87
88,3,33.75,2,91
88,4,33.75,1,87
88,4,37.5,5,83
88,2,41.25,2,94
88,4,37.5,2,89
88,1,37.5,4,75
88,3,33.75,1,86
88,3,41.25,3,97
81,4,41.25,1,67
81,2,33.75,2,81
81,4,33.75,2,90
81,2,67.5,5,85
81,4,33.75,1,80
81,2,30,1,90
81,1,56.25,5,79
88,2,37.5,1,83
88,1,33.75,1,75
88,1,41.25,3,94
88,1,41.25,4,79
88,1,60,4,93
88,1,30,1,93
88,2,45,3,97
88,4,37.5,4,83
88,2,41.25,3,100
88,2,33.75,1,85
84,3,37.5,4,68
84,3,33.75,5,74
84,1,71.25,4,93
84,3,45,4,91
84,1,30,3,88
84,3,41.25,3,94
84,2,37.5,3,83
84,3,67.5,5,91
84,3,41.25,3,82
87,1,33.75,2,91
87,1,30,3,77
87,2,33.75,4,74
87,2,37.5,2,73
87,3,41.25,3,95
87,3,41.25,3,97
87,3,37.5,2,95
87,1,30,3,85
87,2,33.75,5,78
87,1,41.25,3,91
87,2,33.75,3,84
87,3,60,5,97
87,4,33.75,1,88
87,3,52.5,4,96
87,2,37.5,2,78
87,4,45,4,79
87,2,30,5,76
87,2,75,4,93
86,4,63.75,4,87
86,4,30,4,84
86,2,41.25,1,96
86,2,30,4,83
86,4,33.75,4,78
86,2,37.5,2,97
88,4,37.5,2,90
88,3,67.5,4,96
88,3,45,1,95
88,4,37.5,3,85
88,3,33.75,2,92
88,4,37.5,5,80
88,3,37.5,5,81
83,2,30,3,92
83,1,75,4,93
83,1,30,3,84
83,1,45,2,86
83,2,48.75,5,97
83,2,45,5,85
83,1,37.5,3,84
83,2,30,2,77
83,4,33.75,2,77
83,2,33.75,5,80
83,3,30,3,75
79,1,37.5,1,92
79,3,30,4,76
79,3,60,4,88
79,1,33.75,3,82
79,2,33.75,3,75
79,1,37.5,3,75
79,2,41.25,4,74
79,3,33.75,2,73
79,1,37.5,1,98
79,4,37.5,4,76
75,1,30,3,65
75,1,33.75,4,62
75,1,41.25,5,72
75,1,41.25,5,62
75,2,33.75,1,85
75,2,33.75,2,77
75,1,30,3,68
75,1,37.5,2,65
75,1,30,3,84
75,3,33.75,4,69
75,2,37.5,2,91
75,3,33.75,3,78
77,3,52.5,4,80
77,4,33.75,2,86
77,3,41.25,2,74
77,2,41.25,5,74
77,3,60,4,86
77,3,37.5,4,58
76,3,41.25,3,91
76,4,41.25,1,75
76,2,33.75,2,69
76,3,41.25,2,87
76,3,37.5,4,65
76,3,41.25,2,70
76,3,37.5,5,73
76,3,30,2,90
76,4,41.25,1,81
76,3,33.75,4,73
76,4,33.75,5,64
76,2,41.25,1,73
76,3,41.25,1,81
76,1,45,5,76
76,2,33.75,5,66
76,2,52.5,4,79
76,2,63.75,4,71
76,3,33.75,2,70
76,3,33.75,3,79
76,2,37.5,1,74
76,2,48.75,5,75
76,1,37.5,2,73
76,3,37.5,3,83
76,2,33.75,3,79
76,4,33.75,3,81
76,1,30,3,57
79,2,33.75,2,77
79,2,52.5,4,91
79,3,37.5,4,74
79,3,52.5,4,87
79,3,30,1,84
79,1,33.75,2,65
79,2,33.75,4,63
76,4,48.75,5,69
76,3,33.75,2,84
76,3,52.5,5,79
76,4,33.75,2,84
76,4,41.25,3,58
76,3,56.25,5,87
77,1,41.25,5,90
77,3,67.5,4,82
77,3,37.5,4,66
77,2,37.5,1,64
77,1,37.5,3,78
77,3,45,4,87
77,3,41.25,4,77
75,3,37.5,3,83
75,4,52.5,4,68
75,4,41.25,4,78
75,2,33.75,2,84
75,2,33.75,3,83
75,4,33.75,2,60
75,1,37.5,1,78
75,1,56.25,4,86
75,1,30,1,77
75,4,37.5,4,71
75,3,37.5,1,87
75,3,52.5,4,81
75,2,41.25,2,73
75,3,33.75,4,66
75,2,33.75,4,68
75,1,37.5,2,81
79,1,60,4,97
79,1,33.75,3,95
79,1,41.25,5,68
79,1,37.5,2,71
79,1,37.5,1,73
79,3,37.5,4,77
79,1,30,4,75
79,3,37.5,2,74
79,3,41.25,1,90
79,1,37.5,1,77
79,1,30,5,68
79,1,37.5,5,75
78,1,60,4,76
78,1,41.25,3,90
78,3,33.75,1,78
78,2,37.5,3,76
78,1,41.25,3,78
78,3,41.25,4,67
78,3,30,1,78
78,2,52.5,4,89
78,1,60,5,89
78,3,63.75,5,78
78,1,30,4,71
77,1,30,4,79
77,3,37.5,5,70
77,1,37.5,1,70
77,3,33.75,1,77
77,3,45,4,94
77,2,37.5,1,68
77,4,41.25,4,70
77,2,33.75,1,78
77,1,37.5,1,96
78,1,30,2,84
78,2,33.75,1,62
78,1,30,4,65
78,1,33.75,1,69
78,2,52.5,4,80
78,1,33.75,4,67
78,1,30,2,92
78,2,41.25,3,85
78,3,33.75,3,76
78,2,33.75,4,75
78,2,52.5,5,93
78,2,33.75,1,82
78,1,30,2,78
78,1,37.5,4,68
78,1,37.5,1,82
78,2,37.5,4,74
78,2,45,5,79
78,1,33.75,4,74
78,1,63.75,5,78
78,2,45,4,85
78,3,52.5,4,85
78,1,37.5,4,71
78,1,30,5,76
78,3,30,2,74
76,1,37.5,2,95
76,3,60,5,83
76,4,30,3,72
76,4,41.25,1,77
76,4,37.5,4,74
76,1,56.25,4,83
76,3,30,1,67
76,3,30,3,68
76,1,45,5,82
76,2,56.25,5,89
76,1,63.75,5,88
76,1,52.5,5,78
76,3,30,2,79
76,1,37.5,4,73
76,3,37.5,4,70
76,2,37.5,1,71
79,4,30,3,81
79,4,33.75,3,72
79,4,33.75,1,74
79,4,30,2,94
79,4,33.75,1,68
79,3,30,1,87
76,1,41.25,3,73
76,1,45,5,91
76,1,60,4,88
76,1,41.25,3,92
76,1,41.25,5,66
76,3,33.75,1,66
76,3,37.5,1,86
76,1,41.25,1,81
76,1,41.25,1,63
76,3,41.25,1,68
79,1,33.75,1,82
79,1,41.25,4,84
79,3,33.75,4,70
79,3,41.25,3,79
79,3,30,1,75
79,2,37.5,4,81
79,4,33.75,4,74
79,3,37.5,3,81
79,3,48.75,5,89
79,1,48.75,4,91
76,3,37.5,2,84
76,2,33.75,3,87
76,2,41.25,2,64
76,1,41.25,3,66
76,1,33.75,3,61
76,3,67.5,5,87
76,1,52.5,4,74
76,3,41.25,2,74
76,3,41.25,2,64
76,1,41.25,1,90
79,4,41.25,1,77
79,2,41.25,1,77
79,4,33.75,1,70
79,3,37.5,3,92
79,1,33.75,2,74
79,3,63.75,4,82
79,4,63.75,4,83
79,1,30,1,65
78,2,30,5,69
78,3,33.75,2,68
78,1,41.25,5,76
78,3,41.25,5,91
78,1,33.75,3,66
78,1,37.5,2,87
78,1,48.75,4,88
78,2,41.25,4,64
78,1,37.5,4,70
78,1,30,5,74
78,1,30,1,92
78,2,37.5,2,93
75,4,52.5,5,86
75,4,60,5,69
75,3,56.25,5,83
75,4,30,1,81
75,3,37.5,4,56
75,2,33.75,1,75
75,2,37.5,4,66
75,1,48.75,5,80
79,4,33.75,2,93
79,4,60,4,82
79,2,41.25,1,76
79,4,37.5,4,73
79,3,33.75,1,69
79,1,41.25,1,73
76,4,37.5,3,70
76,4,33.75,1,75
76,3,30,1,90
76,2,41.25,2,84
76,2,41.25,1,69
76,3,33.75,1,63
76,1,37.5,1,86
76,2,52.5,5,82
77,2,52.5,4,80
77,3,52.5,4,86
77,2,33.75,3,91
77,4,56.25,4,79
77,2,33.75,2,69
77,3,33.75,2,68
77,2,41.25,2,64
76,4,30,3,75
76,4,37.5,1,80
76,4,33.75,1,69
76,2,60,4,77
76,2,41.25,5,86
76,4,33.75,4,74
75,1,45,4,85
75,1,33.75,2,76
75,2,41.25,1,71
75,2,30,2,78
75,1,37.5,3,68
75,2,30,3,81
75,1,30,3,66
75,2,30,1,76
75,2,41.25,1,81
75,1,37.5,4,67
75,1,33.75,2,67
75,2,63.75,5,73
77,3,41.25,2,85
77,4,48.75,5,79
77,4,30,2,64
77,2,41.25,1,80
77,4,33.75,3,86
77,4,41.25,2,71
76,1,30,1,73
76,1,37.5,2,89
76,2,41.25,2,90
76,1,30,3,75
76,2,37.5,1,71
76,1,60,4,91
76,2,37.5,1,69
76,3,41.25,3,75
76,3,30,3,64
76,1,60,4,86
76,3,41.25,1,84
76,4,33.75,1,84
76,3,37.5,3,70
76,4,37.5,2,80
76,2,41.25,3,58
76,2,33.75,2,74
76,3,33.75,3,65
76,3,37.5,2,82
76,4,37.5,1,68
76,4,41.25,1,88
76,3,33.75,3,82
76,4,52.5,4,82
76,2,41.25,5,70
76,3,37.5,2,75
76,4,30,4,65
79,4,33.75,3,85
79,3,33.75,1,87
79,3,37.5,4,65
79,3,37.5,3,79
79,2,33.75,2,65
79,3,67.5,4,87
79,3,60,5,78
77,2,41.25,4,74
77,3,33.75,3,64
77,3,33.75,3,86
77,4,33.75,1,82
77,3,33.75,3,71
77,2,33.75,2,85
76,2,52.5,5,77
76,2,30,2,76
76,1,33.75,5,72
76,3,52.5,5,79
76,2,33.75,5,69
76,1,33.75,3,70
76,3,37.5,2,80
76,3,33.75,2,78
76,3,41.25,5,74
78,1,33.75,2,62
78,1,33.75,5,69
78,1,45,4,75
78,1,60,5,82
78,3,37.5,1,91
78,1,37.5,1,83
78,2,41.25,1,64
78,1,37.5,1,69
78,2,33.75,4,69
78,1,41.25,1,82
78,1,37.5,2,92
78,2,33.75,1,86
77,1,33.75,3,84
77,1,41.25,1,86
77,1,37.5,3,68
77,1,30,3,74
77,1,37.5,2,74
77,1,30,5,70
77,1,33.75,5,75
77,2,33.75,5,71
77,2,37.5,2,74
77,1,33.75,1,93
77,2,37.5,4,66
77,2,60,4,93
76,3,30,2,89
76,1,45,4,74
76,3,30,1,62
76,1,41.25,1,78
76,1,48.75,5,89
76,2,41.25,3,77
76,1,37.5,1,77
76,1,37.5,3,89
76,2,33.75,1,65
76,1,41.25,3,72
75,1,33.75,5,57
75,2,52.5,5,78
75,3,37.5,2,78
75,2,33.75,2,63
75,2,45,5,70
75,2,41.25,1,68
75,1,30,3,69
75,2,41.25,4,87
75,1,33.75,1,82
75,1,60,5,86
75,2,60,4,83
75,2,37.5,1,74
76,4,37.5,2,78
76,3,33.75,1,77
76,2,41.25,2,62
76,1,37.5,5,63
76,1,45,5,81
76,2,41.25,1,76
76,3,30,1,84
79,3,30,4,74
79,2,67.5,5,92
79,1,33.75,1,92
79,3,37.5,3,74
79,1,30,3,79
79,1,33.75,3,64
79,3,33.75,2,84
79,2,37.5,2,87
79,1,37.5,1,70
79,4,60,5,80
79,2,37.5,4,68
76,3,33.75,3,66
76,1,63.75,5,74
76,3,33.75,3,77
76,3,37.5,4,65
76,3,33.75,2,86
76,2,56.25,5,89
76,4,30,1,77
78,2,33.75,2,66
78,2,41.25,2,70
78,4,37.5,2,84
78,2,48.75,5,87
78,2,41.25,5,65
78,2,37.5,3,85
78,4,37.5,2,77
78,2,33.75,3,85
79,3,33.75,4,75
79,3,41.25,1,71
79,2,33.75,4,73
79,4,33.75,3,81
79,3,33.75,2,92
79,4,60,4,79
77,2,52.5,5,82
77,2,33.75,3,87
77,4,30,4,67
77,4,37.5,5,68
77,4,33.75,1,70
77,2,37.5,2,95
77,4,30,3,86
79,4,45,5,99
79,4,41.25,1,71
79,1,56.25,5,96
79,2,30,1,68
79,1,56.25,4,91
79,2,33.75,4,81
79,2,37.5,2,68
79,1,33.75,2,76
79,3,30,1,68
75,4,33.75,1,67
75,4,41.25,2,65
75,4,37.5,2,88
75,4,41.25,3,71
75,4,41.25,1,79
75,3,41.25,5,81
77,2,60,4,72
77,3,37.5,3,75
77,2,48.75,4,87
77,2,30,3,86
77,1,63.75,4,88
77,3,48.75,4,74
77,2,41.25,3,81
77,1,33.75,5,69
77,3,41.25,1,69
76,1,37.5,1,82
76,1,37.5,3,60
76,1,37.5,1,79
76,1,37.5,1,82
76,1,30,1,64
76,1,41.25,5,61
76,1,52.5,4,84
76,3,52.5,4,76
76,3,41.25,5,73
76,3,37.5,1,76
76,3,41.25,1,87
76,1,41.25,2,70
75,4,33.75,3,80
75,4,33.75,3,78
75,4,33.75,3,82
75,4,33.75,2,68
75,4,33.75,2,66
75,4,60,5,76
79,2,33.75,4,72
79,1,33.75,3,63
79,1,37.5,5,74
79,1,30,3,74
79,2,30,1,85
79,3,60,4,90
79,1,37.5,2,67
79,3,33.75,4,74
79,4,56.25,4,88
79,1,37.5,3,80
79,2,33.75,4,75
79,2,33.75,2,75
76,2,37.5,4,76
76,3,30,4,77
76,1,33.75,3,71
76,1,45,5,86
76,3,37.5,2,69
76,3,41.25,1,77
76,1,37.5,2,84
76,3,30,5,77
78,2,33.75,2,85
78,4,37.5,1,81
78,2,41.25,1,81
78,3,33.75,3,62
78,1,37.5,2,85
78,1,45,4,86
78,4,33.75,3,67
78,3,45,5,89
78,2,37.5,2,84
79,1,30,5,76
79,1,37.5,1,71
79,3,33.75,2,76
79,3,33.75,2,75
79,1,52.5,5,82
79,3,41.25,2,90
79,1,41.25,5,72
79,1,33.75,2,73
79,1,37.5,3,89
79,1,37.5,1,78
78,2,37.5,1,79
78,2,37.5,3,82
78,1,33.75,2,69
78,2,30,1,70
78,2,37.5,5,76
78,1,30,1,76
78,3,52.5,5,90
78,1,41.25,5,84
78,1,37.5,2,74
78,2,33.75,5,70
77,3,48.75,5,82
77,1,30,2,87
77,1,30,3,77
77,1,41.25,5,94
77,1,41.25,4,76
77,2,37.5,5,74
77,2,41.25,4,68
77,1,41.25,5,74
77,1,45,4,87
77,4,37.5,2,73
77,1,30,3,67
78,4,41.25,4,81
78,2,37.5,1,86
78,4,45,4,82
78,4,41.25,1,76
78,4,37.5,4,66
78,3,56.25,4,83
75,2,41.25,4,71
75,2,33.75,2,81
75,2,45,4,75
75,3,33.75,1,66
75,3,33.75,2,92
75,1,45,5,82
75,3,60,4,75
75,4,30,1,66
73,4,60,4,76
73,4,37.5,4,74
73,4,45,5,80
73,4,30,3,58
73,4,33.75,5,87
73,4,30,2,63
73,4,15,3,78
73,3,45,5,89
73,4,30,2,62
73,4,15,2,66
73,3,22.5,1,75
73,3,37.5,4,72
72,1,18.75,1,69
72,1,22.5,1,74
72,3,22.5,3,81
72,3,26.25,1,68
72,4,18.75,2,71
72,4,60,5,81
72,3,18.75,3,70
72,1,30,2,59
72,3,33.75,4,63
73,1,18.75,3,68
73,3,30,1,64
73,2,30,2,80
73,3,56.25,4,75
73,1,33.75,5,70
73,2,26.25,3,92
73,3,26.25,2,72
73,2,22.5,2,63
73,3,56.25,4,77
73,3,30,2,69
73,3,15,4,63
73,1,26.25,2,67
73,1,18.75,4,64
73,4,37.5,4,84
73,3,60,4,73
71,4,18.75,3,76
71,4,26.25,3,69
71,4,52.5,5,73
71,3,33.75,4,84
71,4,52.5,5,67
71,4,30,3,60
72,2,33.75,5,68
72,3,52.5,5,84
72,1,52.5,5,72
72,3,18.75,1,72
72,1,30,3,65
72,2,22.5,5,67
72,3,22.5,2,77
72,2,45,4,75
72,4,22.5,1,64
73,3,33.75,2,69
73,2,30,2,58
73,1,22.5,2,82
73,1,22.5,3,59
73,2,26.25,1,85
73,3,33.75,3,83
73,4,48.75,5,79
73,4,30,3,67
73,1,26.25,2,70
73,1,52.5,5,66
70,2,33.75,5,63
70,3,18.75,1,78
70,1,18.75,5,61
70,1,41.25,4,71
70,1,30,2,84
70,1,30,1,76
70,3,22.5,2,76
70,4,18.75,4,60
74,4,26.25,3,65
74,3,15,3,65
74,3,26.25,2,89
74,1,37.5,4,82
74,2,37.5,5,77
74,2,30,1,67
74,2,30,1,61
74,3,30,3,85
74,3,45,5,77
70,1,60,5,67
70,1,33.75,2,76
70,2,48.75,4,70
70,1,48.75,5,80
70,2,26.25,3,63
70,2,18.75,1,76
70,1,56.25,4,72
70,1,45,5,69
70,2,45,5,69
70,1,37.5,4,69
70,1,33.75,2,61
70,1,37.5,5,70
70,3,18.75,3,70
70,4,45,4,63
70,3,22.5,3,81
70,2,15,3,83
70,2,30,2,70
70,4,18.75,2,62
72,2,15,2,67
72,2,33.75,2,66
72,1,30,3,60
72,3,33.75,3,59
72,1,26.25,1,64
72,1,26.25,3,71
72,3,52.5,4,87
72,2,52.5,4,82
72,1,33.75,1,88
74,4,18.75,3,85
74,2,30,2,79
74,3,15,5,61
74,4,33.75,3,81
74,3,33.75,4,71
74,4,33.75,2,69
74,2,22.5,2,66
74,4,15,2,64
74,4,26.25,2,64
74,4,37.5,5,94
74,3,18.75,4,71
74,1,33.75,2,92
74,1,33.75,3,82
74,1,15,1,71
74,2,30,3,70
74,2,30,5,70
73,2,18.75,3,89
73,4,60,4,68
73,1,22.5,1,78
73,3,30,1,70
73,3,22.5,2,64
73,2,22.5,3,64
73,2,26.25,1,70
73,4,18.75,1,89
73,2,22.5,2,62
74,3,22.5,1,80
74,2,30,5,70
74,1,18.75,1,78
74,1,63.75,4,79
74,1,18.75,1,90
74,1,33.75,1,65
74,1,30,2,81
74,4,30,4,63
74,4,30,1,82
74,3,18.75,1,67
74,1,33.75,5,73
73,4,30,3,72
73,4,48.75,4,81
73,4,22.5,3,63
73,3,15,5,60
73,3,30,1,76
73,4,30,1,83
73,1,26.25,3,71
73,1,18.75,5,57
73,1,30,3,61
73,2,37.5,5,81
73,3,18.75,1,69
73,3,45,5,84
73,2,26.25,5,59
73,2,18.75,5,60
73,2,56.25,4,86
73,3,30,1,80
74,1,30,2,79
74,1,41.25,5,79
74,1,22.5,2,58
74,3,63.75,4,67
74,1,26.25,4,60
74,3,18.75,2,81
74,2,30,1,82
74,1,22.5,5,58
74,4,37.5,4,67
74,4,26.25,1,86
73,2,52.5,4,78
73,2,33.75,2,76
73,1,45,5,77
73,1,26.25,2,66
73,3,48.75,4,69
73,1,33.75,2,76
73,3,26.25,1,73
73,2,22.5,3,66
73,1,30,2,75
73,1,45,4,81
70,1,26.25,2,74
70,1,22.5,4,59
70,2,41.25,5,80
70,3,37.5,4,61
70,3,60,5,67
70,1,48.75,5,79
70,1,22.5,1,72
70,2,56.25,5,71
70,1,33.75,4,82
70,1,26.25,3,67
74,1,18.75,1,88
74,3,33.75,2,59
74,1,30,2,79
74,1,18.75,5,64
74,1,30,4,67
74,3,18.75,1,90
74,1,18.75,3,77
74,4,63.75,4,78
74,4,60,4,70
74,2,56.25,5,70
71,2,33.75,4,70
71,2,22.5,3,59
71,4,41.25,5,65
71,4,18.75,2,79
71,4,30,5,63
71,1,63.75,5,73
71,1,33.75,1,84
71,2,52.5,4,88
71,3,60,4,71
70,1,37.5,5,63
70,1,41.25,5,74
70,1,18.75,1,83
70,3,18.75,2,60
70,1,30,3,63
70,3,26.25,2,67
70,1,52.5,5,75
70,1,22.5,3,77
70,3,33.75,1,73
70,3,33.75,3,81
70,2,63.75,4,61
72,3,30,5,62
72,3,30,2,80
72,2,18.75,2,79
72,1,30,2,71
72,3,60,5,72
72,1,15,2,59
72,2,33.75,1,84
72,3,18.75,4,62
72,1,41.25,5,82
70,1,37.5,4,70
70,1,33.75,4,50
70,1,18.75,3,71
70,2,41.25,4,78
70,3,26.25,3,67
70,1,22.5,2,66
70,1,22.5,1,81
70,3,18.75,2,53
70,2,15,2,78
70,3,26.25,1,73
70,1,48.75,5,69
70,4,30,2,78
73,4,15,1,70
73,1,33.75,2,64
73,3,33.75,3,84
73,4,30,1,79
73,1,26.25,2,58
73,3,48.75,5,66
72,2,33.75,3,74
72,4,15,3,66
72,4,30,2,85
72,3,30,2,64
72,2,33.75,4,61
72,4,56.25,4,76
72,4,41.25,4,71
70,1,18.75,2,73
70,1,30,1,87
70,1,26.25,3,78
70,2,30,2,70
70,2,41.25,5,72
70,3,18.75,3,62
70,1,33.75,2,79
70,2,22.5,1,60
70,1,30,2,63
70,1,26.25,5,60
70,2,41.25,4,74
70,1,18.75,1,82
74,3,22.5,2,65
74,2,26.25,3,75
74,3,18.75,1,75
74,1,41.25,5,78
74,3,30,3,81
74,1,18.75,1,72
74,2,22.5,2,81
74,4,60,5,81
74,1,45,5,68
74,3,18.75,3,61
73,3,30,4,67
73,1,22.5,4,67
73,1,30,2,74
73,3,26.25,3,75
73,1,41.25,4,89
73,3,22.5,4,66
73,2,60,5,72
73,1,26.25,1,91
73,1,18.75,2,78
72,2,41.25,5,87
72,3,33.75,3,62
72,4,30,3,71
72,1,52.5,5,87
72,4,22.5,1,64
72,2,22.5,2,65
72,1,26.25,5,65
72,1,33.75,3,70
72,1,22.5,4,62
72,1,26.25,3,80
72,3,15,1,87
70,1,18.75,1,52
70,2,26.25,2,59
70,3,60,4,77
70,1,22.5,1,79
70,3,22.5,1,54
70,4,30,2,71
70,3,56.25,4,73
70,3,48.75,4,83
70,2,15,2,73
74,4,52.5,4,73
74,4,26.25,2,80
74,4,26.25,1,69
74,4,22.5,1,65
74,4,33.75,5,72
74,4,30,2,85
71,1,26.25,2,71
71,2,33.75,1,69
71,1,22.5,1,74
71,1,18.75,3,65
71,1,22.5,3,77
71,1,33.75,3,72
71,2,18.75,5,55
71,3,60,4,78
71,1,30,5,58
71,4,18.75,2,74
71,4,26.25,2,70
71,3,18.75,2,76
70,1,30,1,66
70,1,30,2,83
70,3,63.75,5,66
70,1,26.25,1,75
