,Program,Actual CWA,Score,Study Time,Lecturer Performance,Difficulty
109,Computer,74,57,7,1,8
110,Computer,50,55,3.5,7,10
111,Computer,2.9,50,1.5,5,9
112,Electrical,70.04,46,5,1,9
113,Electrical,60.14,48,1.5,5,7
114,Computer,69 71,21,2.5,5,10
115,Computer ,67.7,42,1.5,8,9
116,Electrical,81.28,99,3.5,10,7
117,Computer,65.8,40,2.5,7,9
118,Telecommunication,74.58,72,1.5,3,8
119,Computer,69.8,52,3.5,8,10
120,Computer,67.97,55,4.5,8,6
121,Computer,75,68,4.5,8,10
122,Telecommunication,59.89,55,2.5,5,5
123,Civil,81.05,69,4.5,6,7
124,Electrical,62.78,74,3.5,9,8
125,Electrical,75.3,68,4.5,3,7
126,Computer,61.2,42,0.8,8,9
127,Computer,72.15,54,1.2,7,7
128,Computer,68.71,40,1.5,2,10
129,Computer,67,43,1.5,7,10
130,Biomedical,75.55,84,4.5,10,5
131,Telecommunication,68.64,69,2.5,7,5
132,Electrical,63,40,4.5,3,8
133,Civil,57.89,55,2.5,4,6
134,Computer,69.53,55,3.5,8,10
135,Electrical,65,41,1.5,2,6
136,Electrical,65.97,50,3.5,5,8
137,Computer ,65,40,1,3,10
138,Electrical,62,54,1.5,6,6
139,Electrical,76.65,87,3.5,9,8
140,Electrical,65,47,1.5,7,9
141,Biomedical ,59,50,3.5,5,8
142,Petroleum,75,76,2.5,6,4
143,Biomedical,70.61,69,2.5,6,5
144,Electrical,78,77,3.5,4,6
145,Computer,70,69,1.5,6,5
147,Electrical,78,77,3.5,4,6
148,Electrical ,80,75,2.5,5,2
149,Telecommunication,59.67,49,3.5,8,8
150,Electrical,69.25,69,4.5,2,5
151,Computer,72.34,50,3.5,8,8
152,Telecommunication,58,45,2.5,1,3
153,Electrical ,61,40,1.5,3,10
154,Geological,78,69,2.5,4,5
155,Electrical,71,66,3.5,4,8
156,Telecommunication,73.14,76,3.5,4,8
157,Electrical ,83.03,79,10,6,8
158,Electrical ,83.58,98,3.5,9,5
159,Electrical,74.65,65,12,5,10
160,Computer,64,43,3.5,3,10
161,Electrical ,65,56,2.5,3,9
162,Telecommunication,59.89,55,2.5,5,5
163,Geomatic,69.97,60,4.5,7,7
164,Computer,77,70,2.5,5,6
165,Computer,60.39,43,1.5,3,9
166,Electrical ,58.19,45,3.5,6,8
167,Chemical ,74.12,88,2.5,10,6
168,Petroleum,70.2,79,3.5,8,4
169,Petroleum,75,73,1.5,9,7
170,Electrical,73.09,68,4.5,9,5
171,Petroleum,70.2,79,3.5,8,4
172,Civil,64.87,67,2.5,8,9
173,Electrical ,69.7,72,2.5,9,8
174,Electrical,70.05,87,2.5,10,4
175,Computer,61.2,44,1.5,1,10
176,Chemical,65,68,1.5,10,4
178,Agricultural,56,50,1.5,7,5
179,Mechanical,75.29,91,2.5,5,5
180,Electrical,78.9,89,2.5,10,5
181,Computer,45.6,49,0.8,1,10
182,Computer,73,50,1.5,6,8
183,Computer ,66,42,4.5,4,5
184,Computer,69.25,46,12,1,10
185,Computer ,63,42,3.5,6,9
186,Computer,65,40,3.5,3,9
187,Agricultural,63.67,75,3.5,2,5
188,Computer,56.7,40,0.8,4,9
189,Computer ,65,40,3.5,3,9
190,Computer,71.24,46,2.5,6,10
